gene_symbol	s_het	s_het_lower95	s_het_upper95	NFE_s_het	NFE_s_het_lower95	NFE_s_het_upper95	rank	quintile	decile	U	N	NFE_N	n	NFE_n
TLK1	0.4270292088	0.075	1	0.3072	0	1	98	1	1	2.32E-06	110220.3625	64336.617	0	0
DCAF5	0.4266977289	0.075	1	0.30689	0	1	99	1	1	2.24E-06	113974.0919	65289.7655	0	0
STAT1	0.4259684392	0.075	1	0.30623	0	1	100	1	1	2.20E-06	115637.5625	66211.5636	0	0
JMJD1C	0.425928612	0.114	1	0.33799	0	1	101	1	1	5.32E-06	113999.0428	66442	1	1
ATP1A3	0.4242575718	0.075	1	0.30466	0	1	102	1	1	2.25E-06	112132.848	60931.9424	0	0
KCNH4	0.4240396752	0.074	1	0.30446	0	1	103	1	1	2.31E-06	109104.5819	62798.139	0	0
RREB1	0.4234321854	0.074	1	0.3039	0	1	104	1	1	2.37E-06	106028.2775	57047.4549	0	0
FAM160B1	0.4225534664	0.074	1	0.3031	0	1	105	1	1	2.18E-06	114776.1053	64730.2645	0	0
VCPIP1	0.4207733503	0.073	1	0.30147	0	1	106	1	1	2.12E-06	117000.3734	65797.1778	0	0
BCOR	0.4204010348	0.073	1	0.30113	0	1	107	1	1	3.19E-06	77613.7480399999	43968.684	0	0
SCN1A	0.4202781293	0.112	1	0.33289	0	1	108	1	1	5.09E-06	116781.1673	62390	1	1
DYNC1H1	0.420020834	0.16	1	0.36423	0	1	109	1	1	1.16E-05	118236.5928	66418.6667	3	1
XRCC5	0.4198578618	0.073	1	0.30063	0	1	110	1	1	2.13E-06	115928.5378	66456.4091	0	0
EZH2	0.4186620533	0.073	1	0.29954	0	1	111	1	1	2.20E-06	111580.7415	63858.8738	0	0
CHERP	0.4171214726	0.072	1	0.29813	0	1	112	1	1	2.59E-06	94060.02687	51038.9424	0	0
FXR1	0.4161590433	0.072	1	0.29725	0	1	113	1	1	2.30E-06	105415.4898	64589.2683	0	0
NCSTN	0.4160943512	0.072	1	0.29719	0	1	114	1	1	2.09E-06	115970.2205	65250	0	0
ABCE1	0.4145502253	0.072	1	0.29578	0	1	115	1	1	2.17E-06	110839.9954	65146.871	0	0
MYH9	0.4141949234	0.11	1	0.3274	0	1	116	1	1	4.97E-06	117010.7784	66716	1	1
PPP1R9B	0.4141588383	0.072	1	0.29542	0	1	117	1	1	2.64E-06	90929.43529	40563.7213	0	0
PCIF1	0.4135361979	0.071	1	0.29485	0	1	118	1	1	2.09E-06	114501.6183	64105.1971	0	0
BTAF1	0.4126302119	0.109	1	0.32599	0	1	119	1	1	5.18E-06	111631.4501	42382	1	0
CASKIN2	0.4123911949	0.071	1	0.2938	0	1	120	1	1	2.36E-06	100822.3273	53183.7817	0	0
EIF3B	0.4120607694	0.071	1	0.2935	0	1	121	1	1	2.21E-06	107487.1986	54830.0702	0	0
LUC7L3	0.4119243534	0.071	1	0.29338	0	1	122	1	1	2.48E-06	95719.41333	52956.2105	0	0
ZMYND11	0.4115766316	0.071	1	0.29306	0	1	123	1	1	2.11E-06	112308.0647	65326.2609	0	0
PRR12	0.4115607927	0.071	1	0.29305	0	1	124	1	1	2.88E-06	82274.70869	42065.6646	0	0
TM9SF4	0.4111171298	0.071	1	0.29264	0	1	125	1	1	2.00E-06	118211.6485	66681.8182	0	0
LARP4B	0.411010411	0.071	1	0.29254	0	1	126	1	1	2.10E-06	112522.0997	60181.8797	0	0
ZNF462	0.4105224007	0.108	1	0.3241	0	1	127	1	1	4.84E-06	118559.3615	66668	1	1
WBP11	0.4100202531	0.07	1	0.29164	0	1	128	1	1	2.07E-06	113584.8753	65081.7273	0	0
SUV420H1	0.4092819941	0.07	1	0.29097	0	1	129	1	1	2.07E-06	113162.2829	64220.4776	0	0
ANKRD17	0.4090293874	0.108	1	0.32276	0	1	130	1	1	4.91E-06	116232.6359	66734	1	1
KAT7	0.408289162	0.07	1	0.29006	0	1	131	1	1	2.01E-06	115956.219	66260.1928	0	0
GTPBP4	0.4079399377	0.07	1	0.28974	0	1	132	1	1	2.06E-06	112941.6286	65745.5281	0	0
MFN2	0.4067746784	0.069	1	0.28868	0	1	133	1	1	1.97E-06	117404.4494	66335.4046	0	0
ZDHHC5	0.40645869	0.069	1	0.28839	0	1	134	1	1	2.00E-06	115457.5614	66101.0093	0	0
ZMYM3	0.4062256869	0.069	1	0.28818	0	1	135	1	1	3.39E-06	68035.7718	38234.0544	0	0
DCAF8	0.4053481902	0.069	1	0.28738	0	1	136	1	1	1.97E-06	116553.9719	64105.3333	0	0
RBPJ	0.4049207737	0.069	1	0.28699	0	1	137	1	1	2.08E-06	110149.26	61786.275	0	0
ACTN4	0.4048065873	0.069	1	0.28689	0	1	138	1	1	2.27E-06	100870.8115	62726.1704	0	0
CDC42BPB	0.4034230602	0.106	1	0.31772	0	1	139	1	1	5.06E-06	110479.9987	66582	1	1
DNAJC11	0.4020167533	0.068	1	0.28435	0	1	140	1	1	2.04E-06	110647.7476	62639.0303	0	0
TRIM28	0.4016527038	0.068	1	0.28402	0	1	141	1	1	1.92E-06	117342.85	61793.3778	0	0
EPHB2	0.4005626756	0.068	1	0.28303	0	1	142	1	1	1.94E-06	115481.2522	64233.7867	0	0
GLTSCR1L	0.3991229991	0.067	1	0.28172	0	1	143	1	1	1.93E-06	115216.8882	66648.3014	0	0
OGT	0.3990607124	0.067	1	0.28166	0	1	144	1	1	2.91E-06	76390.61607	44800.6386	0	0
AP2A2	0.3990312572	0.067	1	0.28163	0	1	145	1	1	2.50E-06	88905.07789	51078.8677	0	0
SERBP1	0.3987927335	0.067	1	0.28142	0	1	146	1	1	1.93E-06	115019.4177	64833.4839	0	0
ZYG11B	0.3984820899	0.067	1	0.28114	0	1	147	1	1	1.93E-06	114833.8287	66473.4808	0	0
RANBP9	0.3981728513	0.067	1	0.28085	0	1	148	1	1	2.11E-06	104868.7203	52674.4602	0	0
ANK1	0.3967368484	0.104	1	0.31172	0	1	149	1	1	4.80E-06	113590.321999999	66660	1	0
ARID5B	0.3965138959	0.066	1	0.27935	0	1	150	1	1	1.90E-06	115455.9763	66227.198	0	0
TAB2	0.3959853842	0.066	1	0.27887	0	1	151	1	1	1.89E-06	115746.3524	66601.1224	0	0
FURIN	0.3958145737	0.066	1	0.27871	0	1	152	1	1	2.02E-06	108200.498	60471.6482	0	0
FUBP1	0.3954930684	0.066	1	0.27842	0	1	153	1	1	1.94E-06	112472.7163	63781.0722	0	0
INTS5	0.3942376832	0.066	1	0.27728	0	1	154	1	1	1.82E-06	119100.6856	65859.0053	0	0
DNAJC14	0.3940619085	0.066	1	0.27712	0	1	155	1	1	1.81E-06	119647.985	66504.9063	0	0
CHD1	0.3929726284	0.102	1	0.30835	0	1	156	1	1	4.91E-06	109476.1278	66608	1	1
CNOT3	0.3926983267	0.065	1	0.27588	0	1	157	1	1	2.08E-06	103370.8239	57965.5918	0	0
EXT1	0.3926292951	0.065	1	0.27582	0	1	158	1	1	1.83E-06	117449.6775	65588.1935	0	0
GNL1	0.3926102865	0.065	1	0.2758	0	1	159	1	1	2.02E-06	106391.744	58924.1649	0	0
ZRANB1	0.3924417918	0.065	1	0.27565	0	1	160	1	1	1.86E-06	115440.8704	66124	0	0
HNRNPM	0.3921738043	0.065	1	0.27541	0	1	161	1	1	1.90E-06	112850.4858	60150.3942	0	0
TEX11	0.3920733077	0.065	1	0.27532	0	1	162	1	1	2.96E-06	72399.30377	43168.0211	0	0
RBM10	0.3916303251	0.065	1	0.27492	0	1	163	1	1	3.21E-06	66604.31579	35506.0462	0	0
NF2	0.3914486117	0.065	1	0.27475	0	1	164	1	1	1.99E-06	107333.6986	59313.1	0	0
DGCR8	0.3912582912	0.065	1	0.27458	0	1	165	1	1	1.81E-06	117888.7411	66297.9732	0	0
NHS	0.3910013234	0.065	1	0.27435	0	1	166	1	1	2.63E-06	81022.0173399999	44439.3014	0	0
PABPC1	0.3904797633	0.065	1	0.27387	0	1	167	1	1	1.94E-06	109535.2731	65110.5843	0	0
TM9SF2	0.3886872158	0.064	1	0.27225	0	1	168	1	1	1.77E-06	118914.3992	66087.2083	0	0
PRKD2	0.3884404566	0.064	1	0.27203	0	1	169	1	1	1.92E-06	109479.7664	64104.9497	0	0
EPC2	0.387238439	0.064	1	0.27094	0	1	170	1	1	2.34E-06	89253.29512	53563.2115	0	0
SALL4	0.387165769	0.064	1	0.27087	0	1	171	1	1	1.75E-06	119297.8984	66148.211	0	0
PHF21A	0.3858710126	0.063	1	0.2697	0	1	172	1	1	1.87E-06	110868.3385	63334.129	0	0
ZNF592	0.385116855	0.063	1	0.26902	0	1	173	1	1	1.72E-06	120048.1886	65753.9196	0	0
FUS	0.3844418758	0.063	1	0.26841	0	1	174	1	1	2.05E-06	100356.906	63550.0566	0	0
EFEMP1	0.3835188898	0.063	1	0.26757	0	1	175	1	1	1.74E-06	117647.4372	66631.12	0	0
ARID1A	0.3831806029	0.099	1	0.29959	0	1	176	1	1	4.71E-06	109912.4609	66714	1	1
ARCN1	0.382778993	0.062	1	0.2669	0	1	177	1	1	1.86E-06	109616.4258	65308	0	0
LIN9	0.3826802476	0.062	1	0.26681	0	1	178	1	1	1.91E-06	106689.6531	62365.027	0	0
RPS6KA3	0.3822039269	0.062	1	0.26638	0	1	179	1	1	2.56E-06	79394.66019	45414.9778	0	0
ZNF800	0.3820927751	0.062	1	0.26628	0	1	180	1	1	1.70E-06	119486.7459	66556.1591	0	0
SNX27	0.3818492473	0.062	1	0.26606	0	1	181	1	1	1.90E-06	106767.5835	58083.6757	0	0
ETV5	0.3817682198	0.062	1	0.26599	0	1	182	1	1	1.84E-06	110200.5023	65933.3425	0	0
TNFAIP3	0.3812704563	0.062	1	0.26554	0	1	183	1	1	1.71E-06	118257.0909	66209.5357	0	0
LRRC41	0.3810819041	0.062	1	0.26537	0	1	184	1	1	1.84E-06	109788.9885	60284.2336	0	0
PRKCE	0.3810071391	0.062	1	0.2653	0	1	185	1	1	1.80E-06	112182.9643	63109.078	0	0
DPF2	0.3807194922	0.062	1	0.26504	0	1	186	1	1	1.75E-06	115207.1163	64403.7288	0	0
PTPN6	0.3805235691	0.062	1	0.26487	0	1	187	1	1	1.84E-06	109454.7579	60534.6415	0	0
WAC	0.3785654971	0.061	1	0.2631	0	1	188	1	1	1.85E-06	107701.156999999	62591.5579	0	0
TAF4	0.378311029	0.061	1	0.26287	0	1	189	1	1	2.00E-06	99484.29703	45973.2872	0	0
WEE1	0.3782927598	0.061	1	0.26285	0	1	190	1	1	1.88E-06	105823.7252	44171.8261	0	0
DDX26B	0.3781312018	0.061	1	0.26271	0	1	191	1	1	2.54E-06	78256.63944	45802.8684	0	0
GATAD2B	0.3775468464	0.061	1	0.26218	0	1	192	1	1	1.68E-06	117936.4457	66529.5778	0	0
TFCP2L1	0.3775271361	0.061	1	0.26216	0	1	193	1	1	1.76E-06	112563.4687	64042.25	0	0
ASH1L	0.3759506112	0.122	1	0.31197	0	1	194	1	1	7.26E-06	116188.918	66628	2	1
STRBP	0.3758013744	0.06	1	0.26061	0	1	195	1	1	1.80E-06	109017.502	63275.6296	0	0
CS	0.3757408435	0.06	1	0.26055	0	1	196	1	1	1.80E-06	108980.9512	64803.5135	0	0
MARK4	0.3751011012	0.06	1	0.25997	0	1	197	1	1	2.06E-06	94888.84444	53135.4861	0	0
ZCCHC11	0.3747739285	0.096	1	0.2921	0	1	198	1	1	4.53E-06	110572.0626	47742	1	0
PRKCB	0.3746515485	0.06	1	0.25957	0	1	199	1	1	1.71E-06	114025.4742	65230.0303	0	0
GLYR1	0.3744084243	0.06	1	0.25935	0	1	200	1	1	1.73E-06	112555.0175	64679.2	0	0
PRR14L	0.3732969234	0.06	1	0.25835	0	1	201	1	1	3.50E-06	55290.92846	25470.25	0	0
SPTAN1	0.3724960091	0.121	1	0.30887	0	0	202	1	1	7.20E-06	115764.1007	66527	2	2
PDZD8	0.3719719762	0.059	1	0.25716	0	1	203	1	1	1.76E-06	109142.1453	56488.1421	0	0
RBM25	0.3714139848	0.095	1	0.28911	0	1	204	1	1	4.32E-06	114407.3428	66618	1	0
USP7	0.3714053205	0.095	1	0.2891	0	1	205	1	1	4.35E-06	113614.3939	65364	1	1
HDAC6	0.3708343814	0.059	1	0.25613	0	1	206	1	1	2.84E-06	67207.07332	38807.1844	0	0
COPS2	0.3701366139	0.059	1	0.25551	0	1	207	1	1	1.63E-06	116638.25	64865.4	0	0
NFKBIZ	0.3699185056	0.059	1	0.25531	0	1	208	1	1	1.65E-06	115082.9742	61483.7018	0	0
MEPCE	0.369900266	0.059	1	0.25529	0	1	209	1	1	1.71E-06	111033.5625	60680.6462	0	0
MAPKAP1	0.3696768103	0.059	1	0.25509	0	1	210	1	1	1.68E-06	112874.0375	64403.2688	0	0
CCT4	0.3694717707	0.059	1	0.25491	0	1	211	1	1	1.74E-06	108855.8616	64627.3171	0	0
TLE3	0.3692786183	0.059	1	0.25473	0	1	212	1	1	2.14E-06	88412.53915	49167.6946	0	0
CNOT2	0.3683189448	0.058	1	0.25387	0	1	213	1	1	1.67E-06	112682.1028	63790.76	0	0
RANBP3	0.3677294099	0.058	1	0.25334	0	1	214	1	1	1.75E-06	107172.3155	61388.2783	0	0
CSNK1G1	0.3672267652	0.058	1	0.25289	0	1	215	1	1	1.70E-06	110010.1653	35969	0	0
ENAH	0.3666951406	0.058	1	0.25241	0	1	216	1	1	1.85E-06	100785.4064	47287.0108	0	0
DAZAP1	0.3665677712	0.058	1	0.2523	0	1	217	1	1	1.74E-06	107079.2703	59094.9138	0	0
KHSRP	0.3665405335	0.058	1	0.25227	0	1	218	1	1	2.04E-06	91318.16252	50773.0062	0	0
SUZ12	0.366382074	0.058	1	0.25213	0	1	219	1	1	2.01E-06	92597.55616	55220.9459	0	0
PAFAH1B1	0.366257239	0.058	1	0.25202	0	1	220	1	1	1.70E-06	109405.1862	62892.64	0	0
UTP14A	0.3656781964	0.058	1	0.2515	0	1	221	1	1	2.21E-06	83880.48429	45698.3492	0	0
CUL4B	0.3656469695	0.058	1	0.25147	0	1	222	1	1	2.41E-06	76905.7438	45576.0405	0	0
CCT3	0.365294652	0.058	1	0.25115	0	1	223	1	1	1.61E-06	114888.449	65780.1867	0	0
WDR44	0.3651604781	0.058	1	0.25103	0	1	224	1	1	2.30E-06	80360.28704	46861.3205	0	0
IGF2BP3	0.3648642288	0.057	1	0.25077	0	1	225	1	1	1.62E-06	113898.6937	62765.1954	0	0
CFLAR	0.3648013539	0.057	1	0.25071	0	1	226	1	1	1.71E-06	107865.2245	60725.8529	0	0
SYK	0.3644285389	0.057	1	0.25038	0	1	227	1	1	1.66E-06	110877.3186	63334.2478	0	0
RSPRY1	0.3644233783	0.057	1	0.25037	0	1	228	1	1	1.60E-06	115031.8182	64473.9474	0	0
CARM1	0.3643917067	0.057	1	0.25034	0	1	229	1	1	1.61E-06	114296.6	60006.9677	0	0
DNAJC7	0.3642954177	0.057	1	0.25026	0	1	230	1	1	1.74E-06	105698.8802	60097.1642	0	0
TRIM39	0.3641611954	0.057	1	0.25014	0	1	231	1	1	1.67E-06	110044.698	63309.1875	0	0
CPEB1	0.3639582976	0.057	1	0.24996	0	1	232	1	1	1.80E-06	101978.3265	58336	0	0
WDR26	0.3638946077	0.057	1	0.2499	0	1	233	1	1	1.72E-06	106682.526	57464.1714	0	0
ATP2B3	0.3634573705	0.057	1	0.24951	0	1	234	1	1	2.36E-06	77556.78184	42766.5045	0	0
EIF4A1	0.3631939383	0.057	1	0.24927	0	1	235	1	1	1.56E-06	117152.0268	64816.3962	0	0
TM9SF3	0.3624534304	0.057	1	0.24861	0	1	236	1	1	1.66E-06	109626.5244	63453.3913	0	0
RARB	0.3617630773	0.057	1	0.24799	0	1	237	1	1	1.54E-06	117699.3267	65670.2692	0	0
PELP1	0.361565173	0.057	1	0.24781	0	1	238	1	1	1.98E-06	91439.36096	49190.1553	0	0
PPP3CB	0.3612856733	0.056	1	0.24756	0	1	239	1	1	1.63E-06	110894.3204	57970.2188	0	0
PLCL2	0.3609545051	0.056	1	0.24726	0	1	240	1	1	1.59E-06	113466.558	66137.1343	0	0
UBP1	0.3609540392	0.056	1	0.24726	0	1	241	1	1	1.58E-06	114184.3929	63930.2278	0	0
MAPK8IP1	0.3602697527	0.056	1	0.24665	0	1	242	1	1	1.75E-06	102684.3367	54708.5373	0	0
RBM15B	0.3595267001	0.056	1	0.24598	0	1	243	1	1	1.67E-06	107140.1646	57432.8284	0	0
MTSS1	0.35951835	0.056	1	0.24598	0	1	244	1	1	1.77E-06	101082.1421	58307.7568	0	0
ZBTB4	0.3593981433	0.056	1	0.24587	0	1	245	1	1	1.65E-06	108357.8242	60044.2242	0	0
